,0
usb_mean_usb_dur,18042.806640625
n_file,10597.853515625
file_mean_file_len,10281.89453125
workhouremail_send_mail_mean_n_bccdes,1878.06005859375
n_afterhourallact,1518.2548828125
afterhourallact_n-pc2,1412.9324951171875
email_send_mail_mean_n_bccdes,1367.7371826171875
http_mean_url_depth,1310.90771484375
http_hackf_mean_url_len,1296.7554931640625
http_cloudf_mean_url_len,1268.7315673828125
n_logon,1258.57763671875
logon_n-pc0,1164.50927734375
afterhourusb_n-pc0,1088.6473388671875
workhourlogon_n-pc0,1064.6580810546875
n_usb,1027.378173828125
endtime,940.4240112304688
http_jobf_mean_http_c_len,899.480224609375
http_leakf_mean_url_len,854.7682495117188
afterhourhttp_hackf_mean_url_len,795.46484375
n_afterhourusb,782.9774780273438
